"DK1,_ab_vaerk,_TWh"	Klassisk_elforbrug_husholdninger	Klassisk_elforbrug_erhverv	"Individuelle_varmepumper,_husholdninger"	"Individuelle_varmepumper,_erhverv"	"Store_varmepumper,_centrale"	"Store_varmepumper,_decentrale"	Elkedler	Datacentre	Power-to-X	Personbiler_og_varebiler	"Busser_og_lastbiler,_indenrigs"	"Soetransport,_indenrigs"	Fjern-_og_regionaltog	Godstog	"Letbaner,_S-tog_og_Metro"
2015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	6.039572332	12.87274035	0.731757057	0.298886685	0.061838625	0.247354498	0.453483247	0.906966494	0	0.061838625	0	0	0.175209436	0.010306437	0.082451499
2021	5.301569611	15.85221805	0.839852612	0.503911567	0.031494473	0.335941045	0.041992631	1.144299183	0	0.157472365	0.031494473	0	0.104981576	0.073487104	0.104981576
2022	5.228132896	15.89436387	0.892352	0.545909459	0.104982588	0.398933835	0.241459953	1.364773648	0	0.262456471	0.073487812	0	0.104982588	0.073487812	0.115480847
2023	5.155093125	15.93774208	0.94492542	0.587953595	0.136489227	0.461963539	0.230981769	1.931847525	0.010499171	0.388469339	0.115490885	0.010499171	0.115490885	0.073494199	0.115490885
2024	5.081847868	15.97002192	0.997470139	0.640480826	0.157495285	0.472485856	0.251992456	2.519924563	0.020999371	0.514484598	0.146995599	0.010499686	0.136495914	0.0734978	0.115496542
2025	5.008768768	16.00285871	1.050056346	0.682536625	0.178509579	0.493526482	0.262514086	3.360180306	0.042002254	0.640534371	0.189010142	0.010500563	0.136507325	0.073503944	0.126006761
2026	4.988156571	16.16162729	1.123647901	0.787603669	0.252033174	0.546071877	0.252033174	4.106040462	0.084011058	0.766600905	0.241531792	0.010501382	0.136517969	0.073509676	0.126016587
2027	4.978191245	16.31040296	1.197286502	0.89271362	0.325577908	0.598643251	0.409598014	4.978191245	0.147035184	0.913718646	0.294070369	0.010502513	0.241557803	0.073517592	0.126030158
2028	4.968165298	16.45901696	1.260422486	0.997834468	0.567190119	0.661721805	0.504168994	5.755929351	0.220573935	1.071359113	0.357119704	0.021007041	0.336112663	0.073524645	0.126042249
2029	4.947703391	16.61840077	1.33409412	1.11349588	0.756336824	0.735327468	0.546243262	6.554919142	0.325645021	1.250056695	0.430691803	0.021009356	0.367663734	0.073532747	0.136560815
2030	4.93806414	16.76840504	0.237873606	0.948756256	0.882547633	0.840521556	0.661910725	7.154939743	0.514819453	1.449899684	0.504312933	0.021013039	0.399247739	0.073545636	0.147091272
2031	4.906818787	16.86390611	1.502516245	1.2713599	1.050710661	0.851075635	0.777525889	7.754244678	0.55687665	1.670629951	0.58839797	0.021014213	0.430791371	0.06304264	0.157606599
2032	4.885956752	16.94849084	1.607637383	1.334444102	1.082265689	0.872117012	0.809072408	8.101231518	0.577908863	1.891338098	0.682983202	0.021014868	0.430804789	0.063044603	0.157611508
2033	4.854592794	17.04361366	1.702259811	1.397534289	1.113824321	0.903668788	0.840622129	8.311651298	0.598943267	2.133078652	0.788083246	0.021015553	0.430818841	0.06304666	0.157616649
2034	4.833702099	17.12811831	1.796876215	1.45011063	1.134869188	0.91420018	0.851151891	8.522026961	0.598958738	2.385326905	0.893184083	0.021016096	0.43082997	0.063048288	0.157620721
2035	4.80227037	17.20200568	1.901993297	1.513188038	1.166415779	0.924726023	0.861676521	8.732355968	0.609478515	2.648079066	1.008792025	0.031524751	0.430838261	0.063049502	0.157623754
2036	4.7288675	17.38121521	1.912564189	1.565780572	1.240014145	1.008825067	0.7566188	8.942813873	0.725093017	2.900372067	1.113911011	0.031525783	0.430852372	0.063051567	0.157628917
2037	4.665911539	17.56022113	1.912603378	1.607847895	1.303092412	1.092916216	0.830195972	9.153173311	0.788160733	3.131625312	1.208513124	0.031526429	0.430861201	0.063052859	0.157632147
2038	4.592594847	17.7293078	1.923214776	1.649971146	1.376727517	1.17704948	0.88278711	9.35333962	0.809221518	3.341979774	1.282143184	0.031528111	0.430884185	0.063056222	0.157640555
2039	4.51912168	17.90833336	1.933763696	1.702552819	1.418794016	1.240131066	0.935353092	9.563722625	0.861785995	3.541730247	1.345226919	0.031528756	0.430892997	0.063057512	0.15764378
2040	4.445625124	18.07677356	1.93379438	1.744618843	1.460855537	1.303209256	0.935367934	9.774069423	0.882819174	3.70994248	1.397797025	0.031529256	0.430899835	0.063058512	0.157646281
Potentielt_fleksibel_andel	0.025	0.05	0.1	0.5	1	1	1	0	0.98	0.5	0.5	0	0	0	0
Pot_fleks_TWh	0.219586256	1.202471151	0.01168756	0.584761777	1.723069189	1.428886645	1.197743217	0	0.751636401	1.208249736	0.420260778	0	0	0	0
