"DK2,_ab_vaerk,_TWh"	Klassisk_elforbrug_husholdninger	Klassisk_elforbrug_erhverv	"Individuelle_varmepumper,_husholdninger"	"Individuelle_varmepumper,_erhverv"	"Store_varmepumper,_centrale"	"Store_varmepumper,_decentrale"	Elkedler	Datacentre	Power-to-X	Personbiler_og_varebiler	"Busser_og_lastbiler,_indenrigs"	"Soetransport,_indenrigs"	Fjern-_og_regionaltog	Godstog	"Letbaner,_S-tog_og_Metro"	"Total,_DK2"
2015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2020	4.019510596	8.585262377	0.484402559	0.206128749	0.010306437	0.030919312	0.206128749	0	0	0.04122575	0	0	0.113370812	0	0.051532187	13.74878753
2021	4.115277797	6.970776677	0.472417094	0.199464995	0.010498158	0.062988946	0.031494473	0	0	0.104981576	0.020996315	0	0.073487104	0.041992631	0.073487104	12.17786287
2022	4.062826166	6.970843862	0.503916424	0.220463435	0.010498259	0.083986071	0.157473882	0.010498259	0	0.1784704	0.052491294	0	0.073487812	0.041993035	0.073487812	12.44043671
2023	4.010683449	6.981948937	0.535457738	0.230981769	0.010499171	0.125990056	0.062995028	0.073494199	0	0.262479283	0.073494199	0	0.073494199	0.041996685	0.073494199	12.55700891
2024	3.947881815	6.982290976	0.577482712	0.251992456	0.031499057	0.188994342	0.062998114	0.146995599	0	0.346489627	0.104996857	0.010499686	0.094497171	0.041998743	0.0734978	12.86211496
2025	3.895709042	6.982874698	0.60903268	0.27301465	0.042002254	0.220511833	0.063003381	0.199510706	0.021001127	0.420022538	0.126006761	0.010500563	0.094505071	0.042002254	0.084004508	13.08370206
2026	3.885511434	7.046427493	0.6510857	0.304540085	0.136517969	0.273035939	0.073509676	0.346545614	0.031504147	0.514567731	0.157520734	0.010501382	0.09451244	0.042005529	0.084011058	13.65179693
2027	3.875427362	7.099698907	0.69316587	0.336080422	0.241557803	0.325577908	0.157537698	0.472613093	0.052512566	0.609145764	0.19954775	0.010502513	0.157537698	0.042010053	0.084020105	14.35693551
2028	3.865295623	7.163401127	0.73524645	0.367623225	0.378126746	0.388630266	0.262588018	0.567190119	0.094531686	0.714239409	0.241580976	0.010503521	0.220573935	0.042014083	0.084028166	15.13557335
2029	3.855216867	7.216713863	0.766841502	0.399177768	0.546243262	0.472710515	0.357159056	0.640785365	0.147065494	0.829869571	0.283626309	0.010504678	0.241607597	0.052523391	0.094542103	15.91458734
2030	3.845386117	7.281017976	-0.120998003	0.220767297	0.840521556	0.588365089	0.535832492	0.724949842	0.252156467	0.966599789	0.336208622	0.010506519	0.273169506	0.052532597	0.094558675	15.90157454
2031	3.824586806	7.323453307	0.861582742	0.451805584	0.851075635	0.598905077	0.598905077	0.840568529	0.262677665	1.113753301	0.399270051	0.010507107	0.283691878	0.042028426	0.105071066	17.56788225
2032	3.803691063	7.365711147	0.914146747	0.483341958	0.924654181	0.630446033	0.672475768	0.966683917	0.273193281	1.260892065	0.451819657	0.021014868	0.283700715	0.042029736	0.105074339	18.19887547
2033	3.78279958	7.40798251	0.966715448	0.504373277	0.914176565	0.630466597	0.714528809	1.103316544	0.273202192	1.418549842	0.52538883	0.021015553	0.283709968	0.042031106	0.105077766	18.69333459
2034	3.772389246	7.439698013	1.01928066	0.525402402	0.956232372	0.64099093	0.767087507	1.250457717	0.273209249	1.586715254	0.598958738	0.021016096	0.283717297	0.042032192	0.10508048	19.28226815
2035	3.751445343	7.481874186	1.071841527	0.546429014	0.977267274	0.662019766	0.81964352	1.387089035	0.273214507	1.765386044	0.672528017	0.021016501	0.283722757	0.042033001	0.105082503	19.86059299
2036	3.699025245	7.545170812	1.082385228	0.556955506	1.050859445	0.704075828	0.672550044	1.5132376	0.304749239	1.933581378	0.746110206	0.021017189	0.28373205	0.042034378	0.105085944	20.26057009
2037	3.646556991	7.608378275	1.092916216	0.577984537	1.124442646	0.725107874	0.756634304	1.649883134	0.325773103	2.091253145	0.809178352	0.02101762	0.283737864	0.042035239	0.105088098	20.8599874
2038	3.583695293	7.671840363	1.103483888	0.58852474	1.198068221	0.756674666	0.809221518	1.776083591	0.357318592	2.227986516	0.851258999	0.021018741	0.283753	0.042037481	0.105093704	21.37605931
2039	3.531220662	7.735054783	1.114016042	0.609555948	1.240131066	0.767199727	0.85127641	1.90223494	0.3573259	2.354147108	0.893314751	0.021019171	0.283758803	0.042038341	0.105095853	21.8073895
2040	3.478727934	7.798236034	1.124543471	0.620075372	1.334738513	0.788231405	0.903838678	2.038891901	0.367841322	2.469791736	0.935367934	0.021019504	0.283763306	0.042039008	0.105097521	22.31220364
Potentielt_fleksibel_andel	0.025	0.05	0.1	0.5	1	1	1	0	0.98	0.5	0.5	0	0	0	0	0.149865075
Pot_fleks_TWh	0.219586256	1.202471151	0.01168756	0.584761777	1.723069189	1.428886645	1.197743217	0	0.751636401	1.208249736	0.420260778	0	0	0	0	5.32664663
