NOmcap_MAF20_2025_MAF20_2030_T20_NT2040	2020	2021	2022	2023	2024	2025	2026	2027	2028																			
NOmcap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Nuclear	NOm	-	-			
Lignite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	NOm	-	-			
Hard_Coal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	NOm	-	-			
Gas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GasUdland	NOm	-	-			
Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OlieUdland	NOm	-	-			
Hydro-Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ROR	NOm	-	No_RoR			
Hydro-turbine	0	986.28	1972.56	2958.84	3945.12	4931.4	5031.4	5131.4	5231.4	5331.4	5431.4	4888.26	4345.12	3801.98	3258.84	2715.7	2172.56	1629.42	1086.28	543.14	0	HydroRes	NOm	-	-			
Hydro-pump	4691.399902	3753.119922	2814.839941	1876.559961	938.2799805	0	0	0	0	0	0	538.1	1076.2	1614.3	2152.4	2690.5	3228.6	3766.7	4304.8	4842.9	5381	HydroRes	NOm	-	-			
Wind-on-shore	1343.999982	1396.444986	1448.889989	1501.334993	1553.779996	1606.225	1706.225	1806.225	1906.225	2006.225	2106.225	2074.4025	2042.58	2010.7575	1978.935	1947.1125	1915.29	1883.4675	1851.645	1819.8225	1788	Wind	NOm	-	WL_NOm			
Wind-off-shore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Wind	NOm	-	WL_NOm			
Solar-PV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Solar	NOm	-	PV_NOm			
Solar-thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Solar	NOm	-	PV_NOm			
Other_RES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OtherRes_NO	NOm	-	-			
Othernon-RES	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	OtherNonRes_NO	NOm	-	-			
Biofuels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Biofuels	NOm	-	-			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	NOm	-	-			
DSR	0	284.8	569.6	854.4	1139.2	1424	1424	1424	1424	1424	1424	1424	1424	1424	1424	1424	1424	1424	1424	1424	1424	DSR	NOm	-	-			
Battery	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Battery	NOm	-	-			
ReservesNOm	-150	-150	-150	-150	-150	-150	-150	-150	-150	-150	-150	-150	-150	-150	-150	-150	-150	-150	-150	-150	-150	RS	NOm	-	-			
																												
NOncap_MAF20_2025_MAF20_2030_T20_NT2040																												
NOncap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Nuclear	NOn	-	-			
Lignite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	NOn	-	-			
