Eldemand (TWh)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
Year	DK1	DK2	DKBO	DKKF	DKEI	NOm	NOn	NOs	SE1	SE2	SE3	SE4	FI	DELU	AT	NL	GB	FR	BE	ESPT	CH	IT	EELVLT	PL	CZSK	HU
2015	0	0	0	0	0								84.935			118.818	389.093	596.038		335.573	66.685	329.372	28.36815376			44.028
2016	0	0	0	0	0								85.549125			117.9532643	384.2310402	589.3836991		332.2577688	65.51331725	328.0725678	28.33451676			43.812625
2017	0	0	0	0	0								86.16325			117.0885285	379.3690804	582.7293981		328.9425375	64.3416345	326.7731356	28.30087976			43.59725
2018	0	0	0.23	0	0								86.777375			116.2237928	374.5071206	576.0750972		325.6273063	63.16995175	325.4737034	28.26724276			43.381875
2019	0	0	0.23	0	0								87.3915			115.359057	369.6451609	569.4207962		322.312075	61.998269	324.1742713	28.23360575			43.1665
2020	19.75486394	12.92462141	0.23	0	0	24.35020868	18.69373887	94.416988	9.621119645	16.8428225	87.40701327	24.40944399	89.99558237	558.3096478	73.50989552	113.9040235	298.6089288	488.062256	85.35007958	326.2323641	62.57407515	303.0736666	27.53436683	167.9986008	100.9939397	40.88015627
2021	22.31107831	11.52478712	0.23	0	0	25.32416694	19.20699109	96.41477116	9.949117223	17.069545	87.73365594	24.39106819	90.96999099	555.947885	74.0551916	114.3287332	298.9163121	487.8193568	85.68618183	323.2067651	62.45289631	307.6589333	27.72338821	168.6132602	101.7139877	41.18878595
2022	22.49645639	11.60796788	0.23	0	0	26.29812521	19.72024332	98.41255432	10.2771148	17.2962675	88.0602986	24.37269238	91.94439961	553.5861222	74.60048767	114.7534429	299.2236955	487.5764577	86.02228408	320.1811661	62.33171747	312.2442	27.91240959	169.2279196	102.4340357	41.49741563
2023	22.71193867	11.69443384	0.23	0	0	27.27208347	20.23349555	100.4103375	10.60511238	17.52299	88.38694127	24.35431658	92.91880823	551.2243594	75.14578374	115.1781526	299.5310788	487.3335585	86.35838633	317.1555672	62.21053862	316.8294666	28.10143097	169.842579	103.1540837	41.8060453
2024	22.9153015	11.81812682	0.23	0	0	28.24604174	20.74674777	102.4081206	10.93310996	17.7497125	88.71358393	24.33594077	93.89321684	548.8625966	75.69107981	115.6028623	299.8384621	487.0906594	86.69448858	314.1299682	62.08935978	321.4147333	28.29045236	170.4572384	103.8741317	42.11467498
2025	23.11003382	11.90379484	0.23	0	0	29.22	21.26	104.4059038	11.26110754	17.976435	89.0402266	24.31756497	94.86762546	546.5008338	76.23637589	116.027572	300.1458454	486.8477602	87.03059083	311.1043692	61.96818093	326	28.47947374	171.0718978	104.5941797	42.42330465
2026	23.54501789	12.12645143	0.23	0	0	29.938	22.052	106.718723	11.41870797	18.22643518	89.44022645	24.31756497	97.10709003	548.5758984	77.0537657	117.7610842	300.9038044	484.6310885	87.79651229	313.0659563	61.67575396	327.08	28.76972569	173.3422506	105.7006194	43.53466601
2027	24.10379286	12.4112187	0.23	0	0	30.656	22.844	109.0315423	11.5763084	18.47643536	89.8402263	24.31756497	99.34655459	550.650963	77.87115551	119.4945963	301.6617634	482.4144167	88.56243374	315.0275434	61.383327	328.16	29.05997764	175.6126034	106.807059	44.64602737
2028	24.67027557	12.7150641	0.23	0	0	31.374	23.636	111.3443615	11.73390883	18.72643554	90.24022615	24.31756497	101.5860192	552.7260276	78.68854532	121.2281085	302.4197224	480.1977449	89.3283552	316.9891305	61.09090003	329.24	29.35022959	177.8829562	107.9134987	45.75738873
2029	25.21871205	12.98685469	0.23	0	0	32.092	24.428	113.6571808	11.89150926	18.97643572	90.640226	24.31756497	103.8254837	554.8010922	79.50593513	122.9616206	303.1776814	477.9810732	90.09427665	318.9507175	60.79847306	330.32	29.64048154	180.153309	109.0199384	46.86875009
2030	24.46505878	12.25509314	0.23	0	0	32.81	25.22	115.97	12.04910969	19.2264359	91.04022585	24.31756497	106.0649483	556.8761568	80.32332494	124.6951328	303.9356404	475.7644014	90.86019811	320.9123046	60.50604609	331.4	29.93073349	182.4236617	110.126378	47.98011145
2031	26.26133092	13.57187256	0.23	0	0	32.17063027	24.36805799	115.0040399	12.04162666	19.55946336	91.65379225	24.44459667	106.6036748	567.1820573	82.22773826	125.2065092	307.0768048	478.2257702	92.26373848	328.0616142	60.52151943	337.1817767	30.45073443	184.733262	111.8577885	47.63079814
2032	26.73839833	13.84628379	0.23	0	0	31.53126055	23.51611598	114.0380798	12.03414363	19.89249083	92.26735866	24.57162838	107.1424014	577.4879578	84.13215159	125.7178857	310.2179692	480.6871389	93.66727884	335.2109238	60.53699276	342.9635535	30.97073536	187.0428623	113.5891989	47.28148482
2033	27.23221656	14.12913943	0.23	0	0	30.89189082	22.66417396	113.0721197	12.0266606	20.22551829	92.88092506	24.69866008	107.681128	587.7938583	86.03656491	126.2292622	313.3591336	483.1485077	95.07081921	342.3602334	60.5524661	348.7453302	31.4907363	189.3524625	115.3206094	46.93217151
