A ,B,cap A to B,cap B to A
DK1,DK2,590,600
DK1,NOs,1632,1632
DK1,SE3,715,715
DK1,DELU,2500,2500
DK1,DELU,1000,1000
DK1,NL,700,700
DK1,GB,1400,1400
DK2,SE4,0,0
DK2,SE4,0,0
DK2,SE4,1038,900
DK2,SE4,462,400
DKBO,SE4,70,70
DK2,DELU,600,585
DK2,DKKF,600,600
DKKF,DELU,400,400
DKEI,DK1,0,0
DKEI,BE,0,0
DKBO,DK2,0,0
DKBO,DELU,0,0
NOm,NOn,1200,1200
NOm,NOs,1375,1375
SE1,SE2,3300,3300
SE2,SE3,8100,8100
SE3,SE4,5400,2000
SE3,SE4,800,800
NOm,SE2,600,1000
NOn,SE1,700,473
NOn,SE2,158,263
NOs,SE3,2145,2095
NOn,FI,100,100
NOs,DELU,1400,1400
NOs,NL,700,700
NOs,GB,2800,2800
SE1,FI,2000,2000
SE3,FI,1200,1200
SE4,DELU,1315,1315
SE4,EELVLT,700,700
SE4,PL,600,600
FI,EELVLT,1016,1016
DELU,NL,5000,5000
DELU,AT,7500,7500
DELU,PL,2000,3000
DELU,GB,1400,1400
DELU,FR,5180,5180
DELU,CH,3300,4600
DELU,BE,380,380
DELU,BE,1000,1000
DELU,CZSK,2000,2600
CZSK,PL,1990,1790
AT,CZSK,900,900
AT,HU,800,800
AT,IT,1355,1150
NL,GB,1000,1000
NL,BE,3400,3400
BE,FR,2800,4300
BE,GB,1000,1000
GB,FR,5400,5400
FR,ESPT,5000,5000
FR,CH,3200,1300
FR,IT,4350,2160
AT,CH,1700,1700
CH,IT,3850,1800
CH,IT,1000,1000
EELVLT,PL,700,700
CZSK,HU,2600,1800
