Anlaegstype	Havari	Revision	UnitSize	Varmebinding	AvgOutageDuration(hours)
HVDC	0.1	0	700	0	96
Oeresund1	0.068	0	700	0	48
Oerseund2	0.107	0	700	0	48
AC	0.08	0	1000	0	48
ACi	0.08	0	1000	0	48
AC_DK1DE	0.08	0	1000	0	48
HVDCi	0.1	0	700	0	96
ACudland	0.04	0	1000	0	48
HVDCudland	0.1	0	700	0	96
CKV_EX	0.091666667	0.073972603	700	0	48
KYV22	0.093333333	0.073972603	1000	0	48
CKV_BP	0.091666667	0.073972603	700	0.7	48
CKV_GT	0.093333333	0.073972603	700	0	48
CKV_DI	0.093333333	0.073972603	700	0	48
CKV_affald	0.05	0.057692308	0	0	48
DKV_affald	0.05	0.057692308	0	0.7	48
DKV_bio	0.091666667	0.073972603	0	0.7	48
DKV_CC	0.05	0.073972603	-	0.7	48
DKV_GT	0.05	0.073972603	5	0.7	48
DKV_GM	0.05	0.073972603	5	0.7	48
Regulerkraft	0.05	0.073972603	5	0	48
PR	0	0	0	0	0
RS	0	0	0	0	0
StratRes	0.2	0	20	0	48
GasUdland	0.05	0.073972603	100	0	48
KulUdland	0.091666667	0.073972603	400	0	48
OlieUdland	0.093333333	0.073972603	50	0	48
HydroRes	0.05	0.11	50	0	48
HydroPumpOL	0.2	0.05	50	0	48
HydroPumpCL	0.2	0.05	50	0	48
Battery	0.2	0.05	10	0	48
DSR	0.25	0.05	10	0	48
OtherRE	0.091666667	0.073972603	50	0	48
OtherRes_NO	0	0	50	0	0
OtherRes_NOn	0	0.25	50	0	0
OtherRes_DELU	0	0.341902962	50	0	0
OtherRes_AT	0	0.354679803	50	0	0
OtherRes_NL	0	0.6	50	0	0
OtherRes_GB	0	0.247573862	50	0	0
OtherRes_FR	0	0.528834837	50	0	0
OtherRes_BE	0	0.370909091	50	0	0
OtherRes_CH	0	0.535832415	50	0	0
OtherRes_IT	0	0.352266667	50	0	0
OtherNONRE	0.091666667	0.073972603	50	0	48
OtherNonRes_NO	0	0	50	0	0
OtherNonRes_AT	0	0.431413613	50	0	0
OtherNonRes_NL	0	0.579770115	50	0	0
OtherNonRes_GB	0	0.074312303	50	0	0
OtherNonRes_FR	0	0.467401286	50	0	0
OtherNonRes_BE	0	0.36977492	50	0	0
OtherNonRes_CH	0	0.535585042	50	0	0
OtherNonRes_EELVLT	0	0.213793103	50	0	0
Biofuels	0.091666667	0.073972603	50	0	48
Wind	0	0	1000000000	0	0
Solar	0	0	1000000000	0	0
ICHP	0	0	1000000000	0	0
ROR	0	0	1000000000	0	0
Peat	0.091666667	0.073972603	400	0	48
MustRun	0	0	1000000000	0	0
Nuclear	0.05	0.15	1000	0	96
NuclearSweden	0.05	0.16	974	0	96
NuclearFinland	0.05	0.039	875	0	96
Kernekraft_DE	0.05	0.068	1410	0	96
Borssele	0.05	0.111	485	0	96
NuclearGB	0.05	0.238	595	0	96
NuclearFR	0.05	0.223	1088	0	96
NuclearBE	0.05	0.133	845	0	96
NuclearES	0.05	0.093	1011	0	96
NuclearCH	0.05	0.096	667	0	96
NuclearCZSK	0.05	0.146	575	0	96
NuclearHU	0.05	0.081	476	0	96
Demand	0	0	100000000	0	0
