Klimar	DK1	DK2	DKBO	DKKF	DKEI	NOm	NOn	NOs	SE1	SE2	SE3	SE4	FI	DELU	AT	NL	GB	FR	BE	ESPT	CH	IT	EELVLT	PL	CZSK	HU
1982	1.002159124	1.01118133	1.01118133	1	1	1.001021535	0.99867255	1.012846692	1.001800971	1.007817856	1.007367358	1.006750723	1.006704903	1.003239702	1.004156385	1.002236447	1.002048234	1.002565335	1.002876135	0.99208465	1.000506255	1.004342638	1.000820028	1.001157298	1.002119986	0.997194456
1983	1.002262438	1.003538805	1.003538805	1	1	1.003465989	1.007418008	0.997891892	1.005405307	0.99936117	0.997637683	1.000002018	1.00352273	1.00141908	1.001225423	1.006053417	1.005544294	1.020030604	1.003026872	0.997924409	1.007471113	1.001905253	0.997822076	0.999008076	0.998760358	1.001435075
1984	1.002122488	1.004706634	1.004706634	1	1	1.003311298	0.999472848	1.003354037	1.000433461	0.999804494	1.000673141	1.005512071	0.999853692	1.005648653	1.003707434	1.006606478	1.005136407	1.016916265	1.003620849	0.995884809	1.008405849	0.988529097	1.002461567	0.99862904	1.0047032	0.995845727
1985	1.012716022	1.045629169	1.045629169	1	1	1.018617779	1.008944895	1.047767195	1.021479606	1.03746848	1.044666923	1.040878043	1.038936083	1.017364147	1.013731034	1.014857251	1.021875735	1.044801381	1.019531506	1.006595581	1.017105049	1.001503084	1.028193565	1.006928545	1.014471647	1.000198602
1986	1.010147874	1.028419533	1.028419533	1	1	1.016033482	1.010231	1.029257894	1.00853935	1.014965912	1.02169228	1.025704079	1.020694958	1.010095251	1.010276248	1.009453391	1.018873844	1.032955875	1.011898429	1.001178043	1.011836186	0.999866532	1.013297866	1.002828024	1.00930051	1.001893273
1987	1.010098301	1.044218813	1.044218813	1	1	1.014452714	1.006859484	1.042203439	1.013957522	1.026183151	1.038023259	1.036172175	1.034802613	1.017100544	1.010713777	1.01348399	1.019696502	1.035158871	1.015425515	1.000408968	1.010315099	1.005357967	1.024973332	1.006669299	1.012752916	1.001385423
1988	0.99852642	0.998999619	0.998999619	1	1	1.003242	0.998748291	1.007200565	1.005642454	1.003677331	1.005056502	1.00239443	1.010259869	0.99598714	1.000929376	1.000754949	0.999191306	0.988981249	0.995113289	0.991451589	0.999468032	0.99883115	1.008039188	0.999394812	1.000558158	0.999475147
1989	0.992727461	0.976337087	0.976337087	1	1	0.99244595	0.998826331	0.976511675	0.99074622	0.983062509	0.976273842	0.974619787	0.983149559	0.994387335	0.995807623	0.996961598	0.992716531	0.990290929	0.994408217	0.995240412	0.992541553	0.984426497	0.984767534	0.992034971	0.996039122	0.992937899
1990	0.994342852	0.976169995	0.976169995	1	1	0.987877627	0.995744418	0.976396825	0.992396526	0.984494982	0.97509939	0.97179063	0.98818228	0.993112141	0.995911214	0.992960574	0.985947421	0.986293353	0.992786837	0.999722976	0.996286366	0.990604162	0.9831142	0.989557513	0.995169033	0.991286111
1991	0.999375949	1.001054779	1.001054779	1	1	0.999488242	1.002481285	1.0006365	1.000779488	0.998751173	1.000975662	1.006541553	0.997832448	1.004938769	1.009701269	1.004583865	1.013683601	1.028368714	1.0067454	1.007187423	1.006314377	1.007592913	0.994335831	0.999862542	1.006921792	0.998952579
1992	0.997294951	0.990257888	0.990257888	1	1	0.999573631	1.001779377	0.995970619	0.99557096	0.994562993	0.991877091	0.993618149	0.99735489	0.998403812	0.999961923	1.001072611	1.003521032	1.008142578	1.001150869	0.994689156	1.00135163	0.995378672	0.99409916	1.002565972	0.999748316	1.000313818
1993	1.004494643	1.010224542	1.010224542	1	1	1.009780812	1.00571808	1.012859433	1.000481307	1.00331497	1.006918808	1.006910607	1.005386121	1.003323716	1.00324707	1.004899884	1.00700018	1.009411983	1.002008944	0.995981868	1.000863953	0.998046829	1.005881555	0.99958588	1.001727704	1.002476158
1994	0.999480861	0.997482484	0.997482484	1	1	1.012044108	1.006235441	1.014493971	1.003449511	1.009541853	1.002315041	0.997047633	1.009519264	0.993451566	0.991562229	1.000361375	0.994275725	0.976094475	0.993863753	0.996233549	0.989658927	1.002155479	1.005247956	0.998443164	0.993790048	1.000688918
1995	1.001117032	1.005088851	1.005088851	1	1	1.00658021	1.007604374	1.007352941	1.001199106	1.004657267	1.008812484	1.008687962	0.998228921	1.001819054	1.003035311	1.000244982	0.997480247	0.993850056	0.998029619	0.990979208	0.999674277	0.992726896	1.000760673	1.004168481	1.000506196	0.999444686
1996	1.008725265	1.030375309	1.030375309	1	1	1.015473641	1.007912254	1.027367421	1.003263165	1.011657128	1.025590267	1.034026477	1.010799993	1.017285388	1.012499137	1.010330732	1.017660184	1.018364188	1.013312338	0.991963558	1.00423386	0.991267208	1.016755436	1.00759796	1.013434506	0.999825456
1997	1.000049102	1.00332557	1.00332557	1	1	0.999697635	1.00258258	0.996610779	0.999319327	0.99540047	1.003044077	1.011027203	1.003139081	1.002232661	1.00222277	1.001688527	0.996342381	0.991010119	1.001417842	0.984959665	0.991185575	0.990971948	1.002533877	1.001718012	1.004418165	0.997372466
1998	1.001527168	1.004056283	1.004056283	1	1	1.00320439	1.006291296	1.001094997	1.010685737	1.005303846	1.008515348	1.003190487	1.009939672	0.997728778	1.000659059	1.002082543	0.993274776	1.00066157	0.998790001	0.997693709	1.002368574	1.007036322	1.00457499	0.999699987	0.999140872	0.999062253
1999	0.997264754	0.993192235	0.993192235	1	1	0.997338303	0.996789177	0.991154209	1.002273327	0.998748151	0.993125397	0.993978396	0.997901707	0.994550931	0.998879589	0.995337628	0.990746485	0.992039063	0.993528192	1.004235899	1.001714597	1.005136472	0.994968185	0.998344843	0.997487955	0.994068538
2000	0.995568184	0.978110421	0.978110421	1	1	0.989690826	0.994947113	0.969682994	0.990176292	0.981381038	0.976824055	0.97383978	0.980878719	0.991019322	0.99002626	0.994016401	0.994758375	0.977846216	0.992636923	0.996278439	0.989673863	0.993672376	0.981546379	0.989420234	0.988634658	0.99712984
2001	1.000277094	1.000937133	1.000937133	1	1	1.002537791	0.99725326	1.006662697	0.999740599	1.00383696	1.002333573	1.004469989	1.002584196	0.999642338	0.999973169	0.999243628	1.004578266	0.997187685	0.998796661	1.000458204	0.995913411	0.995834216	1.000181767	1.00149706	1.001294446	0.995213425
2002	0.998521204	0.993338135	0.993338135	1	1	0.993894451	0.995905468	0.999808075	1.00128933	1.000419327	0.997565335	0.99580421	1.003886378	0.992797718	0.994758746	0.995269676	0.988596578	0.970727383	0.992755776	0.986930793	0.9908412	0.989540997	1.001787797	1.002268653	0.997247085	0.999455382
2003	0.998448601	1.000942987	1.000942987	1	1	0.991646194	0.995359987	0.993988655	0.997953097	1.001090452	1.003942868	1.003969751	1.002627861	1.000539268	1.004632788	0.997888211	0.996032297	1.003410639	0.99961947	1.011953584	1.000380647	1.030001184	1.00197951	1.004315727	1.002045208	1.009166711
2004	0.999297554	0.997133931	0.997133931	1	1	0.991934867	0.995361232	0.988244251	1.000336253	0.995773472	0.997861204	0.997158493	0.994457101	0.999035745	1.0007284	0.996079913	0.993502326	1.002847742	0.997817663	1.003229331	0.997651378	0.998404248	0.998423939	0.998039384	0.999583305	0.995334116
