Klimaår	DK-West	DK-East	Bornholm	KriegersFlak	EnergyIsland	NOm	NOn	NOs	SE1	SE2	SE3	SE4	Finland	DELU	Austria	Holland	GB	France	Belgium	ESPT	Schweiz	Italy	EELVLT	Poland	CZSK	Hungary
1982	1.001872143	1.014438592	1.014438592	1	1	1.000727999	0.997625539	1.012263761	1.001683189	1.007309581	1.007205509	1.006750723	1.006615631	1.003701816	1.004357072	1.002562665	1.00203372	1.002065133	1.003203371	0.991689157	1.000500236	1.0044383	1.000776994	1.001359046	1.00268402	0.994577384
1983	1.002122595	1.003439634	1.003439634	1	1	1.002942837	1.007252311	0.997990978	1.005051804	0.999402703	0.997689579	1.000002018	1.003609892	1.001331919	1.001189424	1.005981631	1.00550575	1.020934222	1.003144694	0.997191064	1.007798318	1.002290576	0.996811546	0.998577525	1.000039514	1.000857023
1984	1.001928829	1.005412431	1.005412431	1	1	1.003039841	0.999262071	1.003218471	1.000405113	0.999817205	1.000658353	1.005512071	0.999980312	1.006514367	1.003990332	1.007122025	1.005096562	1.015340113	1.004600885	0.993825296	1.008898478	0.98728012	1.002597441	0.998851143	1.004921191	0.992321511
1985	1.010995514	1.057080407	1.057080407	1	1	1.017385568	1.006387741	1.045560434	1.020074857	1.035032478	1.043685667	1.040878043	1.040226853	1.02094694	1.014550737	1.014891498	1.021676596	1.044180327	1.019716422	1.005522444	1.01819372	1.001914387	1.032494239	1.008838317	1.013450729	0.999318772
1986	1.008969106	1.035041364	1.035041364	1	1	1.01507492	1.008714169	1.027947732	1.007980883	1.013992908	1.021215737	1.025704079	1.021107496	1.012427335	1.010843163	1.009493882	1.018729762	1.032170531	1.012132223	0.999771748	1.012425313	0.999855324	1.015205207	1.003833371	1.008345995	1.002649678
1987	1.0087219	1.055579672	1.055579672	1	1	1.013349799	1.005191869	1.040203698	1.013044711	1.024480861	1.037187953	1.036172175	1.035866636	1.02050899	1.011327051	1.013119292	1.01951461	1.034855512	1.015466606	1.0000368	1.011020629	1.005970953	1.028810914	1.008512916	1.012036498	1.002581645
1988	0.998692337	0.998359917	0.998359917	1	1	1.003210797	0.99802321	1.006812198	1.005273442	1.003438251	1.00494542	1.00239443	1.010517315	0.994863993	1.00086629	1.000758106	0.99919381	0.987145231	0.995448191	0.990527477	0.999259139	0.998653765	1.008930392	0.999311027	1.001646555	0.999015056
1989	0.993651894	0.970457318	0.970457318	1	1	0.992800272	0.999629531	0.977599859	0.99135141	0.984163695	0.976795066	0.974619787	0.982308388	0.992859654	0.995577282	0.997078726	0.992788597	0.990722464	0.994496339	0.996295804	0.992108572	0.983046247	0.982180896	0.990620103	0.996287662	0.987289621
1990	0.995206981	0.969577787	0.969577787	1	1	0.988433083	0.997442275	0.977517685	0.992893787	0.985503036	0.975646415	0.97179063	0.987656557	0.991383459	0.995785484	0.993060875	0.986087218	0.986299851	0.992859662	0.99997506	0.995964834	0.989597407	0.979974133	0.988102399	0.995392941	0.985871562
1991	0.99943518	1.001458609	1.001458609	1	1	0.999393858	1.002713723	1.000597089	1.00072851	0.998832365	1.000954228	1.006541553	0.997616577	1.006136854	1.0102716	1.004823565	1.013555208	1.028562975	1.006985112	1.006805215	1.006847627	1.008835978	0.993486368	1.000434564	1.007464821	0.998773887
