hour	DK1_demand	DK1_WS	DK1_PV	DK1_Nclear	DK1_etc	DK2_demand	DK2_WS	DK2_PV	DK2_Nclear	DK2_etc	NOn_demand	NOn_WS	NOn_PV	NOn_Nclear	NOn_etc	NOm_demand	NOm_WS	NOm_PV	NOm_Nclear	NOm_etc	NOs_demand	NOs_WS	NOs_PV	NOs_Nclear	NOs_etc	SE1_demand	SE1_WS	SE1_PV	SE1_Nclear	SE1_etc	SE2_demand	SE2_WS	SE2_PV	SE2_Nclear	SE2_etc	SE3_demand	SE3_WS	SE3_PV	SE3_Nclear	SE3_etc	SE4_demand	SE4_WS	SE4_PV	SE4_Nclear	SE4_etc	FI_demand	FI_WS	FI_PV	FI_Nclear	FI_etc	DELU_demand	DELU_WS	DELU_PV	DELU_Nclear	DELU_etc	AT_demand	AT_WS	AT_PV	AT_Nclear	AT_etc	NL_demand	NL_WS	NL_PV	NL_Nclear	NL_etc	GB_demand	GB_WS	GB_PV	GB_Nclear	GB_etc	FR_demand	FR_WS	FR_PV	FR_Nclear	FR_etc	BE_demand	BE_WS	BE_PV	BE_Nclear	BE_etc	ESPT_demand	ESPT_WS	ESPT_PV	ESPT_Nclear	ESPT_etc	CH_demand	CH_WS	CH_PV	CH_Nclear	CH_etc	IT_demand	IT_WS	IT_PV	IT_Nclear	IT_etc	CZSK_demand	CZSK_WS	CZSK_PV	CZSK_Nclear	CZSK_etc	HU_demand	HU_WS	HU_PV	HU_Nclear	HU_etc	DK1_to_DK2	DK1_to_NOs	DK1_to_SE3	DK1_to_DELU	DK1_to_DELU	DK1_to_NL	DK1_to_GB	DK2_to_SE4	DK2_to_SE4	DK2_to_SE4	DK2_to_SE4	DKBO_to_SE4	DK2_to_DELU	DK2_to_DKKF	DKKF_to_DELU	DKEI_to_DK1	DKEI_to_BE	DKBO_to_DK2	DKBO_to_DELU	NOm_to_NOn	NOm_to_NOs	SE1_to_SE2	SE2_to_SE3	SE3_to_SE4	SE3_to_SE4	NOm_to_SE2	NOn_to_SE1	NOn_to_SE2	NOs_to_SE3	NOn_to_FI	NOs_to_DELU	NOs_to_NL	NOs_to_GB	SE1_to_FI	SE3_to_FI	SE4_to_DELU	SE4_to_EELVLT	SE4_to_PL	FI_to_EELVLT	DELU_to_NL	DELU_to_AT	DELU_to_PL	DELU_to_GB	DELU_to_FR	DELU_to_CH	DELU_to_BE	DELU_to_BE	DELU_to_CZSK	CZSK_to_PL	AT_to_CZSK	AT_to_HU	AT_to_IT	NL_to_GB	NL_to_BE	BE_to_FR	BE_to_GB	GB_to_FR	FR_to_ESPT	FR_to_CH	FR_to_IT	AT_to_CH	CH_to_IT	CH_to_IT	EELVLT_to_PL	CZSK_to_HU	
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-700.0	-3000.0	-800.0	-100.0	-100.0	-700.0	-3240.0	nan	nan	nan	nan	284.0	-1300.0	-5400.0	0.0	1000.0	0.0	0.0	-3400.0	60.0	0.0	-460.0	-255.0	-2800.0	-2800.0	1000.0	-1000.0	-195.0	1355.0	-836.0	-1790.0	715.0	-1375.0	-1400.0	-1200.0	-600.0	0.0	1893.0	-263.0	0.0	-800.0	-473.0	-1000.0	800.0	-600.0	-1690.0	-1690.0	-70.0	462.0	280.0	3300.0	2500.0	-6608.0	5180.0	-1195.0	-3000.0	-207.0	-1000.0	-700.0	0.0	-900.0	-1632.0	-1632.0	-1315.0	-600.0	
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1000.0	-160.0	-3400.0	-600.0	-600.0	1000.0	-152.0	-600.0	-600.0	-600.0	-600.0	-263.0	-700.0	-1400.0	-1300.0	0.0	-1000.0	-400.0	-585.0	-2000.0	-800.0	1355.0	155.0	-4400.0	-4400.0	-1200.0	-836.0	800.0	-1315.0	-473.0	380.0	-3020.0	5180.0	-1690.0	-70.0	0.0	-1632.0	-415.0	0.0	nan	-1375.0	-1000.0	665.0	700.0	-2155.0	-1940.0	-1940.0	-4563.0	-1790.0	-1400.0	-600.0	0.0	-700.0	3300.0	284.0	-900.0	715.0	0.0	-1000.0	-3000.0	-1415.0	-1016.0	-1016.0	-5400.0	-100.0	
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5180.0	-800.0	655.0	-1315.0	-1315.0	-1300.0	-152.0	0.0	0.0	0.0	0.0	0.0	1300.0	-836.0	-1632.0	-1790.0	3300.0	0.0	-2000.0	0.0	-100.0	-755.0	-700.0	-1700.0	-1700.0	-1000.0	-1000.0	-700.0	-3400.0	-1000.0	-2045.0	-70.0	-1016.0	-1000.0	-473.0	-400.0	-1375.0	-245.0	-600.0	0.0	0.0	-600.0	-1200.0	715.0	-263.0	800.0	800.0	nan	1400.0	-800.0	0.0	700.0	-1000.0	-2755.0	-1690.0	-400.0	-4563.0	-55.0	-3780.0	-1400.0	-585.0	-3000.0	-3000.0	-3300.0	-4400.0	
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-800.0	-3300.0	-70.0	-700.0	-700.0	284.0	-1700.0	0.0	0.0	0.0	0.0	-255.0	nan	-1315.0	-700.0	-600.0	1000.0	-955.0	-380.0	-4563.0	-4355.0	-3000.0	1355.0	-1000.0	-1000.0	-3000.0	-2045.0	-600.0	-600.0	-2000.0	0.0	-700.0	800.0	-1375.0	-800.0	-2800.0	0.0	-700.0	-1632.0	-1400.0	0.0	-3400.0	-1016.0	-473.0	5180.0	-1790.0	-1790.0	1400.0	0.0	3300.0	-1000.0	0.0	400.0	-90.0	-1000.0	-100.0	-1000.0	-3780.0	-1655.0	-900.0	0.0	-1300.0	-1300.0	-263.0	-152.0	
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	284.0	-3000.0	800.0	-445.0	-445.0	-207.0	-3400.0	-1632.0	-1632.0	-1632.0	-1632.0	-1400.0	-836.0	-4355.0	5180.0	-263.0	-700.0	-4400.0	-1000.0	700.0	-600.0	-3300.0	0.0	-1000.0	-1000.0	-800.0	1355.0	-920.0	0.0	-1000.0	-1700.0	1000.0	-1000.0	-1790.0	-1690.0	0.0	715.0	-1300.0	nan	2500.0	-6608.0	-700.0	0.0	-900.0	-3780.0	-255.0	-255.0	0.0	-70.0	1365.0	-600.0	3300.0	-1200.0	1893.0	-2800.0	-1315.0	-600.0	-1375.0	-473.0	-2000.0	-1655.0	-1016.0	-1016.0	400.0	0.0	
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1195.0	180.0	-800.0	-800.0	-800.0	0.0	-5000.0	-1000.0	-1000.0	-1000.0	-1000.0	-100.0	-1000.0	-600.0	-1200.0	700.0	-1300.0	-2000.0	0.0	-70.0	0.0	-3240.0	-152.0	-1020.0	-1020.0	0.0	0.0	-400.0	-207.0	-600.0	nan	-900.0	0.0	-1315.0	1355.0	-1000.0	-3000.0	-1400.0	-836.0	-1790.0	1805.0	-5400.0	-4563.0	-1400.0	-2160.0	60.0	60.0	-473.0	800.0	-1016.0	-700.0	284.0	3300.0	-3400.0	5180.0	-1000.0	160.0	-600.0	715.0	-255.0	0.0	-1690.0	-1690.0	-1000.0	-1400.0	
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1400.0	-400.0	-55.0	-55.0	0.0	-400.0	-1000.0	-1000.0	-1000.0	-1000.0	-1200.0	-2000.0	-70.0	-1016.0	-1315.0	-1400.0	-1000.0	-1700.0	-800.0	-1790.0	-1690.0	-4563.0	800.0	800.0	-585.0	-800.0	-1000.0	-600.0	1700.0	-3000.0	1355.0	-1000.0	0.0	-836.0	-1000.0	-600.0	1400.0	-700.0	0.0	-100.0	665.0	655.0	0.0	-1000.0	-755.0	-755.0	-1300.0	-3400.0	-600.0	-900.0	-3000.0	0.0	-263.0	0.0	-1632.0	-3780.0	-473.0	-1375.0	-300.0	-700.0	nan	nan	-445.0	5180.0	
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	800.0	400.0	655.0	-3240.0	-3240.0	-983.0	715.0	-1000.0	-1000.0	-1000.0	-1000.0	-3300.0	700.0	800.0	-1200.0	0.0	-700.0	1805.0	-900.0	-1540.0	-1000.0	0.0	0.0	-600.0	-600.0	-2800.0	-1400.0	-800.0	-600.0	-3400.0	-2000.0	-400.0	0.0	-6608.0	-1300.0	-1000.0	-473.0	-1632.0	0.0	284.0	-70.0	nan	-460.0	-5400.0	-700.0	0.0	0.0	-100.0	-263.0	-2160.0	-1195.0	-1375.0	-1400.0	-3000.0	-800.0	-1000.0	5180.0	1355.0	-90.0	-492.0	-1315.0	-4400.0	-4400.0	1893.0	0.0	
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5180.0	-1690.0	-3020.0	-3020.0	-845.0	-1400.0	1580.0	1580.0	1580.0	1580.0	-1375.0	-255.0	1355.0	-307.0	0.0	-1000.0	1000.0	-207.0	-5400.0	-100.0	-1300.0	-1415.0	-415.0	-415.0	-263.0	-800.0	-900.0	0.0	-160.0	-1632.0	-3300.0	-1200.0	-70.0	0.0	3300.0	-700.0	nan	0.0	0.0	-600.0	-700.0	284.0	-2000.0	-1000.0	-1790.0	-1790.0	-4400.0	-400.0	-1016.0	700.0	-473.0	-600.0	-1400.0	-1000.0	800.0	-1315.0	-600.0	-1940.0	-600.0	-3400.0	715.0	715.0	-1000.0	-1400.0	
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-600.0	-2000.0	-700.0	-1000.0	-1000.0	703.0	284.0	150.0	150.0	150.0	150.0	-600.0	5180.0	-715.0	1400.0	800.0	-700.0	-4563.0	-3000.0	0.0	-1400.0	-800.0	-263.0	-400.0	-400.0	-1700.0	-1375.0	-207.0	-70.0	-2950.0	3300.0	-700.0	-1690.0	0.0	0.0	-3300.0	-1850.0	-1790.0	-1000.0	0.0	-473.0	0.0	1000.0	-1016.0	-3780.0	0.0	0.0	-700.0	-900.0	-570.0	0.0	-1200.0	-1400.0	-3000.0	1278.0	nan	-1300.0	-1150.0	-836.0	-800.0	462.0	-1000.0	-1000.0	850.0	-380.0	
