Information about parameters in run for file test.txt
Options: 
Simulation year: 2035
Climate year: 1985
TYNDP report: 2030
UsePlannedDownTime: True
UseUnplannedDownTime: True
demFlexKlassisk: 0.25
demFlexCVP: 0.95
demFlexPtX: 1
demFlexTransport: 0.2
Storebaelt2: False
oresundOpen: False
EnergyIslandEast: True
EnergyIslandWest: True
DK1
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Overskudsel_DK-West_	ICHP_DK1	160.477	1	0.0	0.0	0.0	0.0	ICHP
Havvind_DKV	Wind_DK1	3186.6	1	0.0	0.0	0.0	0.0	WS_DK1
Kystvind_DKV	Wind_DK1	200.0	1	0.0	0.0	0.0	0.0	WS_DK1
Landvind_DKV	Wind_DK1	4433.0	1	0.0	0.0	0.0	0.0	WL_DK1
Solceller_DKV	Solar_DK1	6745.0	1	0.0	0.0	0.0	0.0	PV_DK1
VandkraftDK	ROR_DK1	6.93	1	0.0	0.0	0.0	0.0	HY_DELU
flatDemand_DK1	flatDemandDK1	-998.235792043379	1	0	0	0	0	-
Fynsvaerket_Blok_7.1	CKV_BP_DK1	272.0	1	0.073972603	0.091666667	48.0	0.7	-
Fynsvaerket_Blok_7.2	CKV_BP_DK1	35.0	1	0.073972603	0.091666667	48.0	0.7	-
Fynsvaerket_Blok_8	CKV_BP_DK1	31.0	1	0.073972603	0.091666667	48.0	0.7	-
Herningvaerket_-	CKV_BP_DK1	73.2	1	0.073972603	0.091666667	48.0	0.7	-
Randersvaerket_-	CKV_BP_DK1	52.0	1	0.073972603	0.091666667	48.0	0.7	-
Skaerbaekvaerket_Blok_3	CKV_EX_DK1	392.0	1	0.073972603	0.091666667	48.0	0.0	-
Studstrupvaerket_Blok_5	CKV_GT_DK1	14.0	1	0.073972603	0.093333333	48.0	0.0	-
Hjoerring_KV_	DKV_CC_DK1	56.15	1	0.073972603	0.05	48.0	0.7	-
Viborg_KV_	DKV_CC_DK1	57.0	1	0.073972603	0.05	48.0	0.7	-
Silkeborg_KV_	DKV_CC_DK1	54.25	1	0.073972603	0.05	48.0	0.7	-
Silkeborg_KV_Ombygget_	DKV_CC_DK1	54.3	1	0.073972603	0.05	48.0	0.7	-
Horsens_KV_	DKV_CC_DK1	4.9	1	0.073972603	0.05	48.0	0.7	-
Soenderborg_KV_	DKV_CC_DK1	3.5	1	0.073972603	0.05	48.0	0.7	-
AVV-Forbraending_KV_	DKV_affald_DK1	3.22	1	0.057692308	0.05	48.0	0.7	-
AVoe-Forbraending_KV_	DKV_affald_DK1	1.68	1	0.057692308	0.05	48.0	0.7	-
Thisted-Forbraending_KV_	DKV_affald_DK1	2.31	1	0.057692308	0.05	48.0	0.7	-
Maabjergvaerket_KV_	DKV_affald_DK1	18.9	1	0.057692308	0.05	48.0	0.7	-
Svendborg_KV_	DKV_affald_DK1	3.15	1	0.057692308	0.05	48.0	0.7	-
Aars_KV_	DKV_affald_DK1	2.023	1	0.057692308	0.05	48.0	0.7	-
Forbraendingsmotor_Biogas_Frederikshavn_	DKV_GM_DK1	0.38	1	0.073972603	0.05	48.0	0.7	-
Broenderslev_KV_	DKV_GM_DK1	22.4	1	0.073972603	0.05	48.0	0.7	-
Forbraendingsmotor_Biogas_Herning_	DKV_GM_DK1	0.357	1	0.073972603	0.05	48.0	0.7	-
Forbraendingsmotor_Biogas_Esbjerg_	DKV_GM_DK1	1.27	1	0.073972603	0.05	48.0	0.7	-
Forbraendingsmotor_Biogas_TVIS_	DKV_GM_DK1	0.357	1	0.073972603	0.05	48.0	0.7	-
Motor_Naturgas_Odense_	DKV_GM_DK1	5.58	1	0.073972603	0.05	48.0	0.7	-
Motor_Biogas_Odense_	DKV_GM_DK1	5.327	1	0.073972603	0.05	48.0	0.7	-
Kombianlaeg_NG_	DKV_GM_DK1	11.9	1	0.073972603	0.05	48.0	0.7	-
Forbraendingsmotor_Anholt_	DKV_GM_DK1	2.4	1	0.073972603	0.05	48.0	0.7	-
Motorer_-_restomraader_-_DK1_	DKV_GM_DK1	412.9324487	82	0.073972603	0.05	48.0	0.7	-
Broenderslev_ORC_CSP_	DKV_bio_DK1	4.0	1	0.073972603	0.091666667	48.0	0.7	-
Lisbjerg_KV_	DKV_bio_DK1	37.0	1	0.073972603	0.091666667	48.0	0.7	-
RenoSyd_KV_	CKV_affald_DK1	1.995	1	0.057692308	0.05	48.0	0.0	-
